Group,PRJNA252803_logFC,PRJNA252803_logCPM,PRJNA252803_LR,PRJNA252803_PValue,PRJNA252803_gene_names
group_10016,-1.09660980069098,5.75751872553269,5.50148779950818,0.0190003013489015,T4S1
group_10049,0.538950225587106,5.73817912302848,2.96314634265254,0.0851820365426606,PHF20
group_10105,0.524210265948663,5.67132052389844,2.90976863270672,0.088044504643234,PANX1
group_10120,-0.461347626228064,6.38822535237722,3.29854583680517,0.0693412433269929,INSI2
group_10155,0.626434314108443,5.87832089289841,3.91493673142048,0.0478588167686508,CNO11
group_10228,-0.858415587718909,5.10785918592932,2.82095764219361,0.0930408778638149,ATF1
group_10242,-0.479524914789232,7.54437751705202,3.23217602858752,0.072204687069032,NUD19
group_10246,1.01097792297437,4.95772523684823,4.72070612155229,0.029801502880364,ESS2
group_1034,0.83594340423468,4.76623702777086,3.0705264027013,0.0797236526609303,E41LB
group_1100,0.502520074955476,7.15469858168747,3.28492754146636,0.0699187145025127,TICN2
group_1118,0.646620340229804,5.31832102759548,3.36442688150078,0.0666187602897394,JADE2|JADE1|JADE3
group_11739,-0.524126843161277,7.146067473742,2.7300945784408,0.0984734531924099,PRVA
group_11784,-0.515989866957204,5.95654280514512,3.19048433411667,0.0740680639008273,STX5
group_11832,-0.50707398659115,6.86515729712704,3.6378339240506,0.0564803716123633,SAT1
group_11838,0.987557743764993,5.02185839351904,4.39144482964209,0.0361196917412094,ARMD3
group_1185,0.64400996045426,6.3344101530859,6.24146279548463,0.0124793361737537,PYRG1|PYRG|PYRG2
group_11861,0.705217979254225,5.83629051497581,2.80674658390457,0.0938685675408031,PAQR7
group_11864,-0.45379803618218,6.63202262150377,2.80346223528653,0.0940609937474815,RU1C
group_11899,0.382244575772482,7.50548364857634,2.95671096309478,0.0855217428799192,SCN2B
group_11905,-0.671498089756061,8.47479949552914,2.93958061725496,0.0864331715394608,LAMP5
group_11926,-0.876253359852496,7.50653937330609,3.64778861655215,0.0561437097213752,TRFE
group_11943,-0.654020458104705,7.63580060282118,7.63172568908622,0.00573504035483457,GSTA4
group_11949,-0.863996293185544,6.68672593952439,6.04077441971794,0.0139791508427375,VIME
group_11970,-0.346976228798828,11.1876473526742,2.77952303737234,0.0954765982713141,CYTC
group_12002,-0.652174307993267,6.35835827563477,3.0414479169862,0.0811634934321463,PENK
group_12007,0.414896497688081,6.61055858367065,2.92976498389243,0.0869601505691022,SPTB2
group_12036,-1.5890651543979,4.36842416632011,6.96712690525242,0.00830206905542001,WDR92
group_12037,-0.671164779730827,5.24532141022375,3.04310525294603,0.0810806802772902,NFIL3
group_12057,-0.723472987756609,5.96599715514527,5.19515357880599,0.0226499536090087,OLFL3
group_12058,0.43205115837269,8.27188949203638,3.55189169433374,0.0594776062448955,RAB6B
group_12191,-0.787112026396134,5.03992020659239,3.37702242346878,0.0661113923029756,Z3H7A
group_12213,0.816950586587862,5.42978483970797,5.71206142458339,0.0168487430196121,G137C
group_12254,-0.406638772770771,8.77894660523812,3.85759333592702,0.049521314342475,FABP5
group_12260,0.71080622542331,5.3646122970085,3.45819897401571,0.0629388345054909,PARM1
group_12282,-0.382825353199868,10.568658503434,3.60921007843913,0.0574604061689882,RL26
group_12284,0.628981910288212,5.97381480859333,3.22104371464673,0.0726972638321282,PSMF1
group_12297,-0.568783038339555,6.50242163804478,3.93030488900249,0.047423345765136,C1GLC
group_12308,0.855658073272255,4.90185774202693,3.4616901250623,0.062806086860951,LZTS1
group_12435,-0.639189330741227,5.85199216001388,4.50146249163892,0.0338658773827351,MS3L1
group_12465,-0.96299072797669,5.18433757342479,4.82441478018664,0.028059389227611,TAF7
group_12477,0.429831048668386,7.11029836294355,3.69982856025976,0.054418059121176,NIPS1
group_14602,-0.615765101920215,8.08922547649739,4.27166846054783,0.0387528616319935,CAH2
group_14615,-0.470215774953682,7.96495868993978,3.65952230600016,0.0557496148701476,YBOX1
group_14622,-0.449754672068631,7.16602270786856,2.73642505379639,0.0980839720018453,TMM47
group_14637,0.416133162848915,7.45871850460336,3.37845267276935,0.0660540411059334,TPC2L
group_14655,-0.381078056537516,10.2878701012484,3.61539433783716,0.0572471485402597,RS6
group_14656,-0.427352892301095,7.23748687645713,2.77495743586052,0.0957492018098321,CNN3
group_14671,-0.484127752121775,7.16189791342776,3.44233090521328,0.0635459823987997,ELOV5
group_14685,-0.393828210576955,7.76046029007385,2.95434960071537,0.085646760090249,COPZ1
group_14693,-0.40045487849945,6.63604249156332,2.80415362088088,0.0940204506326675,NAAA
group_14704,-0.613050646911779,5.54357303420699,2.83164716628915,0.0924235207880781,ZC4H2
group_14710,-0.47358070300585,6.37730883587022,3.55389010284616,0.0594060243851383,ISCA2
group_14726,0.455997832561347,7.27343292578982,3.79097606221764,0.0515295914432381,NGEF
group_14755,0.469118208370466,6.98002377726189,3.696213989727,0.0545360822310775,FRS1L
group_14793,-0.461620365015317,6.45101231947474,2.91155474012067,0.0879470551355707,DYR1A
group_14810,-0.614241696513368,7.6578436774731,3.21633798151469,0.0729065632795279,NREP
group_14821,-1.15543935993521,8.79928342941766,9.87016951305214,0.00167980031269655,HBB1
group_1486,-0.636181860149699,8.18381243965974,3.19008310124411,0.0740862454386389,ENPP2|ENPP1
group_14904,-0.478404465094749,6.57698448408617,3.51267974571116,0.0609008754290887,COPRS
group_14909,-0.421677288062185,6.56264877688403,3.06892554618327,0.0798021997630367,DUS1
group_14918,-0.472488571157207,7.89624742823119,4.78764920371219,0.028664522432261,RM42
group_14934,-0.45387837592232,6.12560740910462,2.94559635469508,0.0861119094098681,TM218
group_14960,0.903341985882424,5.728091078444,6.62590076730355,0.0100506301698389,PCGF3
group_14967,-0.462061314928531,6.9986473452012,3.27704796352969,0.0702551902828574,RM15
group_14980,-0.535332783327134,8.24425166797212,4.34920254001952,0.0370262798496137,CSRP1
group_14985,-0.421102175107288,8.07165820892473,3.00798926236455,0.0828550122336301,ACO13
group_15014,-0.494506620411378,12.4872294805189,3.73152470780505,0.0533946326652449,FRIH
group_15056,-0.572421220941327,6.46730818608518,3.85735886574271,0.0495282359309838,RBM7
group_15086,-0.570885807499655,6.56972744943444,3.09626652312916,0.0784720663398828,E41L2
group_15087,-0.722459916947784,5.64900732149231,3.17106235575288,0.0749536775466504,IFIT3
group_15096,0.502180874277765,7.31668345697975,3.29309895642944,0.0695715982592196,NECA1
group_15107,-0.513929726309241,8.970729209431,3.97413451056044,0.0462041922325431,PRDX6
group_15179,-1.00765611092648,7.64554798260951,11.6228895207481,0.000651451171097102,FABP7
group_15209,-0.943080472236476,5.78053857185303,9.34833663813747,0.00223187940698917,RPP29
group_15213,-0.487923291203147,7.03641380494761,3.10349866107413,0.0781242310389023,T126A
group_15223,1.57009473167534,4.43648973610992,4.39748564914298,0.0359919575472011,AACS
group_15251,-0.493045539748756,7.63453349752056,3.82579707338028,0.0504693377435021,G37L1
group_15279,-0.502124489778879,6.54129521144236,4.25825543550538,0.0390600153883249,TXD12
group_15292,-0.6627743980518,5.89508644220001,2.98996397734505,0.0837820322426114,KTHY
group_15313,-0.614704296501262,6.13237273205814,3.02210623559145,0.0821367268041594,DECR
group_15323,-0.667925150527126,5.2414351886186,3.04545628005545,0.080963361310045,LUR1L
group_15324,-0.466988627803445,8.4025149625914,3.45708374204073,0.0629813031143935,B2MG
group_15447,0.712698650143815,5.6194904914669,3.06758414002169,0.0798680809766531,NOCT
group_15488,-0.446122977519484,7.68537741740237,2.99067001809537,0.0837455112865814,CATS
group_15516,-1.17383346409721,5.02573703091668,6.35864276804716,0.011681086378832,DJC24
group_15533,-0.457954681648727,7.73755763220891,4.35911040839029,0.0368115235405599,SMD1
group_15543,-0.56539984119443,6.28473318292511,3.74210970859419,0.053057414179582,NSE3
group_15549,0.664843887756537,5.08637589229003,2.75827590743979,0.096752455800778,RGPS1
group_15572,0.589570011587527,6.14065931810671,2.84450923335177,0.0916865854876397,NRSN2
group_15602,-0.588776078953375,5.92893094136411,4.40276571314516,0.0358806968534898,FUCO
group_15610,0.431467776963468,6.57683268332435,3.08441794207348,0.0790455421154869,KCTD2
group_15620,-0.671582174799017,5.36371337741995,3.14581519553455,0.0761219541557499,CA131
group_1613,-0.838309573065336,5.00712225612328,3.38611920281348,0.0657475272008826,XPA
