"","SRR1408848","SRR1408849","SRR1408850","SRR1408851","SRR1408852","SRR1408853","SRR1408854","SRR1408855"
"Slc20a1",1427,1352,1284,1275,1314,1502,1927,1250
"Slc20a2",463,403,453,456,479,548,468,293
"Slc22a1",0,0,1,0,4,0,9,1
"Slc22a12",2,2,2,0,3,1,0,0
"Slc22a15",74,79,76,61,83,103,87,62
"Slc22a17",2283,2397,846,843,2675,3230,1251,619
"Slc22a18",1,0,0,0,0,0,1,0
"Slc22a2",2,0,32,9,2,8,0,5
"Slc22a21",5,13,13,5,0,16,5,1
"Slc22a23",885,744,855,649,813,930,853,665
"Slc22a29",1,0,0,0,0,0,0,0
"Slc22a3",20,32,32,23,12,58,24,13
"Slc22a4",81,82,101,66,66,45,40,52
"Slc22a5",61,34,63,18,60,61,29,40
"Slc22a6",32,42,92,52,42,83,9,30
"Slc22a7",0,0,0,0,10,0,0,0
"Slc22a8",126,106,161,122,64,146,69,108
"Slc23a1",0,0,0,0,1,0,0,2
"Slc23a2",2324,2153,2769,2322,2160,2692,2350,2210
"Slc23a3",8,0,33,4,5,15,0,7
"Slc23a4",0,0,3,0,0,0,0,0
"Slc24a1",0,0,1,0,0,0,0,2
"Slc24a2",5732,5701,7753,3437,5045,5219,6292,6942
"Slc24a3",1436,1744,1448,1506,1405,1887,1234,1362
"Slc24a4",209,138,147,118,241,244,183,166
"Slc24a5",4,3,4,0,2,3,0,1
"Slc25a1",195,226,192,108,158,201,130,83
"Slc25a10",45,19,16,12,68,88,32,9
"Slc25a11",1257,1102,930,970,1240,1513,1138,774
"Slc25a12",1499,1496,1464,1132,1771,1832,1814,1242
"Slc25a13",20,9,40,9,15,20,3,20
"Slc25a14",719,713,852,918,658,766,1158,743
"Slc25a15",128,142,173,191,100,93,189,133
"Slc25a16",641,647,950,823,527,815,982,762
"Slc25a17",386,295,502,322,385,321,435,383
"Slc25a18",589,427,580,441,444,543,415,323
"Slc25a19",169,151,62,65,242,235,63,78
"Slc25a2",0,0,0,0,0,0,0,4
"Slc25a20",130,79,129,91,87,185,160,110
"Slc25a21",9,0,32,8,0,2,0,6
"Slc25a22",1281,1816,431,581,2033,1865,983,429
"Slc25a23",4636,4526,3304,2706,3540,4713,2697,2209
"Slc25a24",29,72,62,53,37,60,46,55
"Slc25a25",551,483,364,234,566,773,272,245
"Slc25a26",82,97,71,64,94,97,82,80
"Slc25a27",269,334,379,183,264,339,306,213
