"","SRR8809606","SRR8809607","SRR8809608","SRR8809609","SRR8809610","SRR8809611","SRR8809612","SRR8809613","SRR8809614","SRR8809615","SRR8809616","SRR8809617","SRR8809618","SRR8809619","SRR8809620","SRR8809621","SRR8809622","SRR8809623","SRR8809624","SRR8809625","SRR8809626","SRR8809627","SRR8809628","SRR8809629","SRR8809630","SRR8809631","SRR8809632","SRR8809633","SRR8809634","SRR8809635","SRR8809636","SRR8809637","SRR8809638","SRR8809639","SRR8809640","SRR8809641","SRR8809642","SRR8809643"
"Ushbp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"Uso1",621,171,172,112,29,561,102,216,31,198,1189,42,108,220,486,228,18,347,580,239,36,303,577,391,0,1286,7,0,43,1545,320,40,1,877,1,218,1137,189
"Usp1",215,57,53,38,0,348,0,32,66,249,7,163,125,111,14,19,259,35,38,141,4,71,261,4,13,76,37,909,312,0,51,6,5,209,198,242,0,304
"Usp10",19,122,394,68,126,451,18,0,945,1211,1504,20,391,508,556,727,7,218,2070,1236,276,528,280,228,9,1194,18,40,23,0,233,0,373,65,55,563,124,491
"Usp11",744,1,956,674,2,1122,284,580,1928,508,1686,895,719,1165,516,908,33,53,1998,2717,216,1847,2691,660,174,2774,139,169,117,2308,949,2964,1142,975,598,4,56,753
"Usp12",2,116,130,3,0,2,290,0,4,1,1,126,243,348,146,139,0,0,326,339,13,112,112,0,11,507,2,0,0,0,1,0,26,198,1,234,13,12
"Usp13",137,86,241,72,15,299,338,18,11,54,450,1168,92,671,364,254,26,83,345,536,269,422,569,2,7,1735,10,13,55,219,44,17,41,2,17,839,386,1694
"Usp14",827,173,651,45,399,1135,433,419,1152,544,4389,492,1599,3005,1430,2162,975,133,1783,1775,37,521,1861,190,140,893,31,10,1157,3,959,858,90,675,848,416,104,1992
"Usp15",568,455,727,468,21,1521,383,282,1434,6,1550,901,970,1798,363,1209,319,412,1772,1319,49,504,641,430,766,1759,57,11,62,829,956,20,38,830,295,1926,442,1446
"Usp16",1232,104,415,666,82,1314,785,163,4,392,343,381,739,784,622,846,162,398,568,172,12,459,624,16,264,0,0,17,283,768,1100,853,232,585,314,0,51,138
"Usp17la",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
