"PRJNA252803__1","PRJNA252803__2","PRJNA529794__1","PRJNA529794__2","PRJNA252803_fc","PRJNA529794_fc","group_num"
164.6375,96.2,28.4185714285714,10.4591666666667,-1.71,-2.72,"group_10078"
16.365,12.93,0.69,1.4725,-1.27,2.13,"group_10079"
26.87,30.3175,0.782142857142857,0.90125,1.13,1.15,"group_10081"
101.9175,130.76,3.64428571428571,3.56458333333333,1.28,-1.02,"group_10082"
101.9175,130.76,3.64428571428571,3.56458333333333,1.28,-1.02,"group_10083"
53.2975,57.77,27.4185714285714,27.4597916666667,1.08,1,"group_10084"
12.28,13.265,0.0739285714285714,0.524583333333333,1.08,7.1,"group_10085"
327.3875,364.6425,11.4121428571429,2.54458333333333,1.11,-4.48,"group_10086"
31.385,37.3775,5.78928571428571,11.1583333333333,1.19,1.93,"group_10087"
23.1975,25.1275,18.35,18.2370833333333,1.08,-1.01,"group_10088"
30.0175,35.3775,5.165,4.40958333333333,1.18,-1.17,"group_10089"
18.565,24.165,4.04928571428571,2.19083333333333,1.3,-1.85,"group_10091"
24.795,26.315,12.5421428571429,14.7495833333333,1.06,1.18,"group_10092"
14.36,11.6125,1.88071428571429,3.31458333333333,-1.24,1.76,"group_10094"
9.6475,12.015,1.28678571428571,2.43791666666667,1.25,1.89,"group_10095"
43.18,45.43,6.18571428571429,8.74166666666667,1.05,1.41,"group_10096"
20.385,19.4925,5.67714285714286,5.41291666666667,-1.05,-1.05,"group_10097"
32.4825,30.1675,4.30928571428571,3.71708333333333,-1.08,-1.16,"group_10098"
23.7625,30.4975,0.0228571428571429,0.832083333333333,1.28,36.4,"group_10099"
11.53,13.6375,1.47892857142857,2.13291666666667,1.18,1.44,"group_101"
28.9275,33.1475,8.87928571428571,13.1145833333333,1.15,1.48,"group_10100"
5.13,7.92,1.83071428571429,1.30375,1.54,-1.4,"group_10101"
329.9725,301.12,91.03,72.48375,-1.1,-1.26,"group_10102"
14.1375,17.42,0.00428571428571429,0.47875,1.23,111.71,"group_10103"
12.475,19.0225,0.0239285714285714,1.3625,1.52,56.94,"group_10105"
19.465,23.51,6.95428571428571,6.715625,1.21,-1.04,"group_10108"
130.2825,136.265,139.802857142857,82.6341666666667,1.05,-1.69,"group_10109"
69.3216666666667,74.9483333333333,12.1516666666667,16.1052777777778,1.08,1.33,"group_1011"
17.07,18.8675,2.21785714285714,2.84958333333333,1.11,1.28,"group_10110"
12.715,12.1875,1.37928571428571,1.31666666666667,-1.04,-1.05,"group_10111"
41.9,43.1625,3.91285714285714,8.72208333333333,1.03,2.23,"group_10112"
494.0375,463.635,68.8592857142857,48.055,-1.07,-1.43,"group_10113"
17.37,22.6175,3.22357142857143,2.6225,1.3,-1.23,"group_10114"
23.725,24.6075,2.91928571428571,3.04458333333333,1.04,1.04,"group_10118"
19.3125,17.4375,3.14928571428571,2.18,-1.11,-1.44,"group_10119"
47.84125,53.8575,5.99142857142857,9.16229166666667,1.13,1.53,"group_1012"
30.435,23.1525,2.56285714285714,4.84333333333333,-1.31,1.89,"group_10120"
33.1425,36.33,6.38904761904762,7.20791666666667,1.1,1.13,"group_10121"
11.1025,8.325,4.81357142857143,7.775,-1.33,1.62,"group_10122"
