,logFC,logCPM,LR,PValue,FDR
11937,-3.73538625988146,9.99982573272252,26.588597531619,2.51725031856063e-07,0.00185471003471547
14902,-5.08588174743831,6.08778604679245,24.939285530965,5.91644234545196e-07,0.0021796173600645
4125,3.13096700258707,7.2343808270373,23.6511246926611,1.15478400350051e-06,0.00261988426608511
10078,-3.09098782184795,8.74899515316118,23.2502708465954,1.42230416182688e-06,0.00261988426608511
3042,4.3819400804432,6.62907686760312,20.9611827438179,4.68683980832157e-06,0.00537604772630076
9778,-1.73798011244006,10.5664089747366,20.9565032201446,4.69830214721509e-06,0.00537604772630076
10073,4.42837484059958,5.94308889581586,20.5937272682692,5.67818580727577e-06,0.00537604772630076
1163,4.24706564447671,6.38051942644283,20.5408594389732,5.83718537057628e-06,0.00537604772630076
25159,-1.92619790741109,8.92201794132357,20.2246722529076,6.88590938702947e-06,0.00538535557328832
25020,4.6115645399291,5.61594013836042,20.1105822188683,7.30911451314918e-06,0.00538535557328832
14812,-1.8227259372167,10.3335689950733,19.4856315446404,1.01359261167239e-05,0.00678922760254742
4254,3.97076290982133,6.06092991480017,19.0041032867618,1.30437652644476e-05,0.0074904348899128
2406,2.59728836785094,7.01402611535261,18.8376937878322,1.42326395845249e-05,0.0074904348899128
24607,2.59728836785094,7.01402611535261,18.8376937878322,1.42326395845249e-05,0.0074904348899128
12043,3.62672448298607,6.71861280629052,18.6826657498952,1.54379579651792e-05,0.00758312495249603
5343,-2.25165804824856,10.433627367598,18.4988044270292,1.70010913212549e-05,0.0078290025534379
8405,4.86143573239803,8.08815979919078,18.2805895584165,1.90639804420663e-05,0.00809368083108285
15498,-2.81559124008534,7.57039481731666,18.2110496320471,1.97728359065542e-05,0.00809368083108285
5384,2.75168166327745,8.78865692294881,17.8656660849626,2.37059620489223e-05,0.00919292254612945
15403,-1.69493976624344,9.68019560315873,17.721069624141,2.55777817879736e-05,0.00942285481068946
11710,-2.8319246520802,7.09674389466602,17.3633327026796,3.08724849630603e-05,0.0108318318670394
6042,-2.39829875618382,10.1568496355076,16.9441852905683,3.8495046868902e-05,0.0122824606177767
9784,3.27320041678831,6.96054965965167,16.8964719474541,3.94748852898891e-05,0.0122824606177767
3302,3.04370019154593,6.12022054814902,16.8710088332671,4.00080150416179e-05,0.0122824606177767
19012,-1.8077671790606,9.36611562209742,16.6894673250511,4.40247482470096e-05,0.0129749738033587
15346,-1.69597828841635,10.2606560859487,16.5173453774944,4.82070508949217e-05,0.013661136576684
1856,3.76471498147298,6.42731689104778,16.2588007352047,5.5252350188162e-05,0.0150777524513473
2949,3.90889354990736,6.44281063070596,15.962728059174,6.4601940220702e-05,0.0169995391266476
24921,4.18784813111607,5.46816487988655,15.4982225635996,8.25828717235111e-05,0.0204276517401325
4784,-2.99113236868285,8.10939691353096,15.4847298495601,8.3174477769269e-05,0.0204276517401325
11930,2.788915206533,7.38293162320069,15.3878389563367,8.7549936349168e-05,0.0205395116704651
35151,3.31986802330244,5.68985694619413,15.3524481676256,8.92052624124436e-05,0.0205395116704651
14844,-4.48347556054915,7.15730080804209,15.2359414103612,9.4880393441035e-05,0.0211842042082893
25268,-3.72180671274423,5.34883573044537,15.0888738040185,0.000102566033702122,0.0218083537263921
15421,2.64089095267448,8.42279470539449,15.0700201556949,0.000103595599948931,0.0218083537263921
15430,-1.74255656213584,9.96396226869258,14.9013209821995,0.000113283631689245,0.0226385772516815
4600,3.6308346631575,5.32565991873889,14.858580078116,0.000115879737028338,0.0226385772516815
24916,-4.13091192290044,5.51050826701656,14.7919256375282,0.000120048415782471,0.0226385772516815
12016,-2.42506246825274,7.60912425858823,14.7257759873936,0.000124334792753362,0.0226385772516815
11740,-1.56688996058998,11.4729926316526,14.6469500625232,0.00012964426223296,0.0226385772516815
15363,-3.81682173515976,5.75750816441369,14.5881783399896,0.000133750983507128,0.0226385772516815
4119,-2.01441336071192,7.47487508579864,14.5737365338641,0.000134780006226808,0.0226385772516815
4120,-2.01441336071192,7.47487508579864,14.5737365338641,0.000134780006226808,0.0226385772516815
24662,-3.62095593019329,6.21331389919701,14.5679803194984,0.000135192372295601,0.0226385772516815
19208,3.80045281304235,5.81376189412739,14.3726667723635,0.000149963422063373,0.0242210814189562
34987,3.90965712278395,5.28473546013826,14.3569881219366,0.000151217392137891,0.0242210814189562
8217,4.11516021595892,5.31788256367199,14.1974356983888,0.000164594664778215,0.0249739085116698
10109,-1.3986708073271,10.6088757132008,14.1928301900725,0.000164998016636085,0.0249739085116698
1043,2.91098553654822,6.28398492544054,14.1524035914224,0.000168581588657629,0.0249739085116698
12036,3.58502648325879,5.78714533327481,14.1424542592566,0.000169475492071592,0.0249739085116698
