Row.names,logFC,logCPM,LR,PValue,gene_names
group_108,0.17797828646017,6.26296023169712,0.513904711736286,0.473453404206254,MARK2|MARK3|MARK1|MARK4
group_1170,-0.397089047559504,4.40651571427767,0.53206843550081,0.465738542133953,PLD2|PLD1
group_12,0.113036030406218,6.92687028822617,0.258674000803352,0.61103260084679,PTPRS|PTPRA|PTPRF|PTPRD|PTPRE
group_12002,-0.652566568151056,6.35826219874415,3.04879788786687,0.0807969261337003,PENK
group_12444,0.272289310219584,5.6419807239149,0.712793156478704,0.398518108224392,SMYD3
group_12483,-0.506745909212941,5.52202809339819,1.96204222925127,0.161295074046023,EMP2
group_1367,0.0385864406148782,6.11149713656773,0.0226098751960072,0.880476018468199,TPR
group_1380,0.362005483617772,5.37414496460432,0.97953095281598,0.322314633792217,HD
group_14693,-0.40025484457415,6.63474487896588,2.80995311396363,0.0936811136526782,NAAA
group_15060,-0.0744697021904899,5.72264046601278,0.06561531196851,0.797831262994518,RAB31
group_15179,-1.00782772231279,7.6414018810333,11.6384726241402,0.00064601625991689,FABP7
group_15209,-0.943530746827368,5.77456477457784,9.40299138469103,0.00216631710136894,RPP29
group_15580,0.346783573623943,5.81762861680169,0.997494194573377,0.31791760004514,CABP8
group_15590,-0.582346474613033,7.68277904713146,1.11526659502662,0.290939966245824,MAL
group_15599,-0.136135455522052,6.54968580748695,0.245777265816995,0.620064255888976,PSME2
group_1756,0.519246425294624,5.40876871779013,2.21883646813228,0.136335773306975,SCYL2
group_180,1.27418952039622,4.65683863700499,3.44098943121159,0.0635975956644517,FGD1|FGD4
group_1834,0.421089306109583,5.17833909380577,0.980465940691708,0.322083799983745,RAPH1
group_18944,-2.05560661136643e-05,5.72304391433251,4.01560027363246e-06,0.998401123172261,MDR1A|MDR1B
group_200,0.319586777527112,5.27280419108316,0.743465477464867,0.388553018579209,LMO7
group_2062,0.404115405886758,6.30055838093493,2.5609967493379,0.109529507169898,NETO1
group_2300,0.225635556857642,8.34794103247613,1.06921499212679,0.301122827806921,NELL2|NELL1
group_2440,0.334478259849548,5.23590710427084,0.604639093048316,0.436813456173047,ADCY9
group_24680,0.41247364148619,4.99522976851051,0.968152167370851,0.325141455747585,KCNQ3|KCNQ2
group_24715,0.464500254555677,6.00260142100167,2.25992302434741,0.132760659866779,CABP8
group_24716,0.464500254555677,6.00260142100167,2.25992302434741,0.132760659866779,CABP8
group_27,-0.125364456346381,5.38938336873118,0.0959991168142107,0.75668472889137,LRP1|LRP4|LRP6|LRP1B|LRP2
group_2935,0.264629723969878,4.98093761534542,0.248912374264566,0.617841951400542,DEAF1
group_3025,0.520820562658242,5.26527150515073,1.96722675598347,0.160742534098653,GLMN
group_3291,-0.50386160283216,5.50731139449773,1.73373923518009,0.187934066270285,RMND1
group_34806,-0.674912679314809,4.78895548076821,1.67661699780013,0.195374581061795,TIE2
group_34823,1.10952078603667,4.46601840583258,4.24886680036246,0.0392765302842335,LMO7
group_35024,0.0954493990653716,5.2829802258395,0.0271915606102127,0.869023764930879,CRIM1
group_35136,0.257739717265481,4.93590240810864,0.356579470176457,0.550412074554144,NAV3|NAV2
group_354,0.0297786247323942,6.68059096866392,0.0150782591181315,0.90227057165393,NEC1|PCSK5|PCSK6|FURIN
group_3775,0.100257316758635,5.67332694972326,0.104497201060715,0.746498141293892,GRID1|GRID2
group_415,0.32946284416519,5.23484316776915,0.621221487706003,0.430593735417254,EP300|CBP|CBP
group_417,-0.498757251690903,5.20992344593692,1.17408244102013,0.278563993907693,MDR1A|MDR3|MDR1B
group_450,-0.0495786958661568,5.5343661803864,0.0140011504149902,0.905808995036447,FGFR3|FGFR1|FGFR2
group_4717,0.69210739848307,6.31314873879813,5.05216638253684,0.0245951685641502,CRIM1
group_5,0.307656104960134,6.30514843965608,1.60463519561954,0.205247570917748,EPHA7|EPHA4|EPHA5|EPHB6|EPHAA|EPHA3|EPHB1|EPHA6
group_53,0.618725257867132,5.42892726634572,3.3921237320057,0.0655085219814387,NAV3|NAV1|NAV2
group_610,0.184271992060201,5.9142497651044,0.436117512102031,0.509002344283749,KCNQ3|KCNQ5|KCNQ2
group_6195,-0.400014244687731,6.83479684158073,2.38941562274128,0.122159286220312,NPC2
group_6219,-0.152780076691937,4.57684670052643,0.0665007868720826,0.796501477240071,CSF1
group_7136,0.0116634872133203,5.43265045294365,0.00122468388148411,0.972083342130572,G6PD1
group_8140,-0.17358009041079,5.94199687760697,0.135473534449668,0.712823055703578,GPR62
group_8152,-0.532617930111816,5.94166974874688,3.77916582219215,0.0518945261451271,RLBP1
group_9,0.00664367345509827,6.10663301313522,0.000586047102924425,0.980686370081833,PTPRK|PTPRT|PTN5|PTPRM
group_9766,0.736492313304429,5.17839491307764,3.680407342835,0.0550553980808463,RAPH1
group_9994,-0.289561234864727,4.87963534341145,0.425679828421784,0.514116440645828,MPZL1
