Group,PRJNA252803_logFC,PRJNA252803_logCPM,PRJNA252803_LR,PRJNA252803_PValue,PRJNA252803_gene_names
group_10016,-1.09660980069098,5.75751872553269,5.50148779950818,0.0190003013489015,T4S1
group_10155,0.626434314108443,5.87832089289841,3.91493673142048,0.0478588167686508,CNO11
group_10246,1.01097792297437,4.95772523684823,4.72070612155229,0.029801502880364,ESS2
group_11838,0.987557743764993,5.02185839351904,4.39144482964209,0.0361196917412094,ARMD3
group_1185,0.64400996045426,6.3344101530859,6.24146279548463,0.0124793361737537,PYRG1|PYRG|PYRG2
group_11943,-0.654020458104705,7.63580060282118,7.63172568908622,0.00573504035483457,GSTA4
group_11949,-0.863996293185544,6.68672593952439,6.04077441971794,0.0139791508427375,VIME
group_12036,-1.5890651543979,4.36842416632011,6.96712690525242,0.00830206905542001,WDR92
group_12057,-0.723472987756609,5.96599715514527,5.19515357880599,0.0226499536090087,OLFL3
group_12213,0.816950586587862,5.42978483970797,5.71206142458339,0.0168487430196121,G137C
group_12254,-0.406638772770771,8.77894660523812,3.85759333592702,0.049521314342475,FABP5
group_12297,-0.568783038339555,6.50242163804478,3.93030488900249,0.047423345765136,C1GLC
group_12435,-0.639189330741227,5.85199216001388,4.50146249163892,0.0338658773827351,MS3L1
group_12465,-0.96299072797669,5.18433757342479,4.82441478018664,0.028059389227611,TAF7
group_14602,-0.615765101920215,8.08922547649739,4.27166846054783,0.0387528616319935,CAH2
group_14821,-1.15543935993521,8.79928342941766,9.87016951305214,0.00167980031269655,HBB1
group_14918,-0.472488571157207,7.89624742823119,4.78764920371219,0.028664522432261,RM42
group_14960,0.903341985882424,5.728091078444,6.62590076730355,0.0100506301698389,PCGF3
group_14974,-1.99631263247911,5.05502298858049,15.5262500042414,8.13674666420542e-05,PROS|GAS6
group_14980,-0.535332783327134,8.24425166797212,4.34920254001952,0.0370262798496137,CSRP1
group_15056,-0.572421220941327,6.46730818608518,3.85735886574271,0.0495282359309838,RBM7
group_15107,-0.513929726309241,8.970729209431,3.97413451056044,0.0462041922325431,PRDX6
group_15179,-1.00765611092648,7.64554798260951,11.6228895207481,0.000651451171097102,FABP7
group_15198,-2.54626434180133,4.66687347095726,17.8331771218088,2.41141747798343e-05,SKAP2
group_15209,-0.943080472236476,5.78053857185303,9.34833663813747,0.00223187940698917,RPP29
group_15223,1.57009473167534,4.43648973610992,4.39748564914298,0.0359919575472011,AACS
group_15279,-0.502124489778879,6.54129521144236,4.25825543550538,0.0390600153883249,TXD12
group_15516,-1.17383346409721,5.02573703091668,6.35864276804716,0.011681086378832,DJC24
group_15533,-0.457954681648727,7.73755763220891,4.35911040839029,0.0368115235405599,SMD1
group_15602,-0.588776078953375,5.92893094136411,4.40276571314516,0.0358806968534898,FUCO
group_18890,0.725710239630256,5.73025584798304,4.39572602556532,0.0360291162263205,RENT2
group_1893,0.971486541638332,5.79215753549389,4.25574897507474,0.0391176950552603,F126B|HYCCI
group_19043,-0.585028490485182,6.52246912375083,5.55082144611147,0.0184720159405074,SNPC5
group_1917,1.24089207032186,4.78310545246847,5.97607375526467,0.0145012495518007,WDR19
group_193,0.657093273653713,6.29904576241709,5.08166726391496,0.0241801073878523,MYH10|MYH14|MYH9
group_2032,0.840358846962448,5.16842139847894,4.19702601462366,0.0404949380439096,RBM12
group_2257,0.600677410123198,6.12771818487726,4.73099614139122,0.0296237234660117,MFSD6
group_2268,-0.794290125947855,5.22456450455649,4.3626293353224,0.0367355638860233,CHSS3|CHSS1
group_24621,0.807453350325946,5.97634256479965,5.82819302012194,0.015771315131199,F25A4
group_24767,-0.953087902191195,5.29184351101533,5.94216566145649,0.0147828435344985,MFSD1
group_2487,1.01780683149002,5.16617531627453,4.84608812544196,0.0277089051866203,SESD1
group_24892,0.832862230614403,5.24069757400448,4.87100194718086,0.0273116386600746,UBAP2
group_25102,0.794662030518012,5.16994452546504,3.8963724437907,0.0483904865595333,FRY
group_2726,-0.540105101207917,7.38915025815847,4.72728979765835,0.029687629856236,ECHB
group_292,1.03503242106023,5.06839633815724,4.85730706332932,0.0275292734461698,LMBL2
group_3031,0.858225224919505,5.26453665238963,3.95007181416465,0.0468693675719068,ZN483
group_304,0.951162762749604,4.87331944801526,4.29635631074812,0.0381941200334738,SLIT1|SLIT3|SLIT2
group_3327,0.835814122396815,5.34277486134379,4.6958852868729,0.0302349194481951,EGFL7
group_3334,-0.896484095167008,5.34677340798267,4.62361469533355,0.0315347164998986,RBM28
group_3354,0.870916614703246,5.08820861367388,4.27671208926789,0.0386380204083462,CAN5
group_3373,-0.586144256733458,6.14115548358556,4.49387149528026,0.0340165587794728,ECI2
group_3384,-0.85518148785006,5.49815220809087,5.81695037220208,0.015872442030984,PHF12
group_34622,-1.05977629055352,5.47422511720705,4.43160570643388,0.0352793033299234,SLIK2
group_34631,0.771904596516714,5.33498621009148,4.26109811313696,0.0389947064902971,STRN
group_34647,-1.24422960397456,5.2099317140844,9.14855151439448,0.00248915032143625,CTNA1
group_34656,1.02319784537607,5.37039425683116,5.82578133994733,0.0157929519593746,RIPR2
group_34672,0.961162573478577,5.41868152366056,5.47805031718727,0.0192567257908424,RIPR1
group_34796,1.35182338865831,5.28946985863835,5.94580363928142,0.0147523637780971,MED13
group_34817,0.964923356554482,5.01666627785044,4.2805217260902,0.0385515132212374,FAS
group_34823,1.10578038691694,4.46243484221349,4.2200841081422,0.039948180491101,LMO7
group_34841,1.40184395498336,4.7558025011869,6.30298838270101,0.0120534609174521,BD1L1
