"project","Exp_Type","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","IQR","stdev"
"PRJNA252803","TMM_Value",0,11.745,19.9795,42.8192627080934,38.797,3348.921,27.052,92.753609102278
"PRJNA529794","TMM_Value",0,0,0.36,6.60589278769584,5.497,2360.734,5.497,25.1171847597974
