Row.names,logFC,logCPM,LR,PValue,FDR,gene_names
group_10010,1.64452398645123,7.97124210580453,6.61077098721576,0.0101363766543466,0.135771070588432,UBXN1
group_10053,0.727275094137715,7.59966977062264,1.91774875343379,0.166105048935258,0.485659524029754,GPR22
group_10069,-1.12763948810336,10.0376078058284,8.80044053185212,0.00301157817842288,0.0812417091422514,PARK7
group_10076,-1.3406705108283,11.0320280205461,6.22539532350751,0.0125930789481224,0.150626307937931,ROGDI
group_10194,-1.65273793298842,6.70947410631844,5.5294859887702,0.0186985977417138,0.185176435700198,PIANP
group_10199,0.118061503836006,6.80146432988005,0.0262687090202931,0.871245813011013,0.950027993231485,MPND
group_10211,0.353450752877005,7.94309571244807,0.469496140381519,0.493219058876762,0.770604007284258,YIPF5
group_10214,-1.08443913661503,6.60015462703308,2.39431080124005,0.121777408617631,0.421841065676872,ELP3
group_1022,0.901153315124967,6.38230793657984,1.83987978635104,0.174965037675196,0.496906490761748,TIAM1|TIAM2
group_10227,0.287242784760309,8.43410345362779,0.345944178536794,0.556418060684443,0.805281530371828,RAB14
group_1026,2.59630513634153,6.05488237446161,7.34366206055232,0.00672996011097711,0.111180148201075,CTC1
group_10300,1.41475803007768,5.97622657517415,3.21345189947634,0.0730352488496559,0.334862298397178,GSG1L
group_10303,-1.17022510616805,9.69190781401155,6.42477755302864,0.0112539007050884,0.142472062534521,CALY
group_1033,-1.01187142636591,6.24819065620438,1.98507504314797,0.158856780914777,0.475023036436721,RASL1
group_1039,-0.409904224199083,7.66558659012562,0.443022912295124,0.505667021431915,0.775568887610569,IGSF8
group_1042,0.125260956118956,6.29411470092785,0.0451819978726817,0.831669725559458,0.93254337816498,P4HA1|P4HA2
group_1049,2.46690013495436,5.7472251610276,9.80310252636762,0.00174217699953847,0.0611264251008419,PHF1
group_1081,-0.606181184161795,6.7170476960308,0.714374683751892,0.397995337144352,0.702883423796642,GRB14
group_1082,0.844954712779375,7.67216110798524,1.9452436475539,0.163100316335757,0.480305008298105,BAP1
group_11,1.03347089661529,5.70620934454476,2.37518958210985,0.123276631449284,0.42527166239464,MAST2|MAST3|MAST4|MAST1
group_1101,1.22620761179572,5.67417543114848,1.97490739564835,0.159927931631145,0.476678398162733,ALDH2|AL1A1|ALDH
group_1112,-0.609480035782796,6.42505935475862,0.729939866417514,0.392902680818885,0.69854640051789,AKT3|AKT2|AKT
group_1124,-1.98129768429947,5.44296515461052,3.68355708468216,0.0549514989335258,0.301761085849518,SATB1|SATB2
group_1158,0.93566657237916,5.77628863922641,1.60650718599793,0.204983479921788,0.531241041176128,BICD1|BICD2
group_11674,1.61024668640031,7.41626072459845,6.059934529027,0.0138282810813699,0.158702141756283,RNF4
group_1168,0.575025008971702,6.06534465845574,0.745814105884705,0.387804754308585,0.694569265503539,TACC1
group_11737,-0.831264940796909,9.7354917303111,3.5542579359497,0.05939285879664,0.311636290656858,PEA15
group_11745,-3.05523604396076,8.23432772447336,10.8649175546173,0.000980031140444148,0.0497990996054654,IBP2
group_1175,1.47178884923765,8.19828698526332,6.38798738941163,0.0114895225530061,0.144216017326318,PSMD3
group_11764,0.827999352930127,6.28248280647729,0.619281469840626,0.431314421604394,0.727213880636424,UBXN8
group_11774,0.664231337588559,7.78130388216349,1.47455355612905,0.224628617119546,0.551320336754434,FUS
group_11794,-2.37175802418157,6.82571814795238,5.83595531091099,0.0157018814756076,0.16896469246567,MGST3
group_11835,-0.735881496504024,5.7730877440887,0.600864354853073,0.438248425465885,0.732910066647927,AJAP1
group_11844,-0.517674829879151,10.5954251853738,1.43089438535583,0.231618529784896,0.558349672772836,HINT1
group_11861,-1.2127436266076,6.02107848597191,1.97873306357836,0.159523939530711,0.476051999377188,PAQR7
group_11879,2.51096805236267,5.12608390159911,6.55383747871768,0.0104658194155252,0.137700281167124,ANO10
group_11882,-1.2060662752348,5.20482830772866,1.57536853185406,0.209429082430208,0.536580252384453,GRIN1
group_11893,-0.94455039588849,8.95592053555333,3.609508976613,0.0574500796061256,0.306826663123357,STMN3
group_11894,-0.674078278661856,7.36261899337662,1.67687618385178,0.195340051816929,0.522988917800557,TEF
group_11899,-0.235015034651253,5.95445384044857,0.0788672330546003,0.778838410605355,0.910003395074573,SCN2B
group_11905,0.388630028808612,6.28781537376646,0.174068025084287,0.676521444744568,0.864933195363175,LAMP5
group_1191,-0.379506170420079,6.24191226259468,0.32992193548257,0.565705058904364,0.810601881370548,MPP6|MPP2
group_11918,-2.24299642339752,9.23244798790607,11.953936151411,0.000545320551105741,0.0368616680784137,HAP1
group_11940,2.01760881251882,5.98623309173576,4.85005838100475,0.0276451965485513,0.218148440738969,TADA3
group_11945,0.355838546509219,5.06794754333123,0.123536573533863,0.725229999530001,0.884693330750247,CHST2
group_11969,-0.966677487160363,5.1223268486333,0.964669844085136,0.326013111659861,0.644503516691671,MXI1
group_12,-0.358178137539126,6.83274299233264,0.545077905804539,0.460335863034367,0.74955903620712,PTPRS|PTPRA|PTPRF|PTPRD|PTPRE
group_12002,2.3769185861426,9.64460668320502,8.64079854115381,0.00328717317900676,0.0846849370032232,PENK
group_12008,2.28822978717885,5.65902242625619,4.89368530931315,0.0269550894762471,0.216817793953044,RND3
group_12016,-2.42506246825274,7.60912425858823,14.7257759873936,0.000124334792753362,0.0226385772516815,CIR1
group_12019,2.50536964451089,5.00921687951291,5.5700828245909,0.018269896548668,0.18380711427125,RBM45
group_12022,0.401688025826315,7.55679974758707,0.182657357801595,0.669099425535884,0.860971807081452,RAB28
