Row.names,logFC,logCPM,LR,PValue,gene_names
group_10016,-1.09983623597957,5.74697717564526,5.48808954356877,0.0191464537070671,T4S1
group_10155,0.627585233283111,5.87996785162905,3.94148317002127,0.0471092255952764,CNO11
group_10246,1.01181185925962,4.962645390971,4.72416144363334,0.0297416820715719,ESS2
group_11838,0.990670311806295,5.02414712785124,4.42525932549475,0.0354107318377161,ARMD3
group_1185,0.6440105413439,6.33696588334085,6.22255947827237,0.0126132644298613,PYRG1|PYRG|PYRG2
group_11943,-0.653848699909775,7.63358188945567,7.64984103558374,0.00567773242881371,GSTA4
group_11949,-0.864642642486372,6.68152135492466,6.04754732913416,0.0139256273112003,VIME
group_12036,-1.59180382528771,4.36203255459208,7.01693877871425,0.00807421555952963,WDR92
group_12057,-0.722828242210813,5.9619359712094,5.20203568350604,0.022560452543879,OLFL3
group_12213,0.818611376662457,5.43353347991954,5.71784157672477,0.0167933624614661,G137C
group_12254,-0.406414941253703,8.77857238326905,3.85816758861431,0.0495043666481261,FABP5
group_12297,-0.569392367153028,6.49805762682962,3.94884075358956,0.0469036686136347,C1GLC
group_12435,-0.639645923813727,5.84694350277282,4.52583358324166,0.033386807071565,MS3L1
group_12465,-0.963436646524635,5.18067491566063,4.83946050926809,0.0278155956310651,TAF7
group_14602,-0.61630078913752,8.087701248525,4.28289037773204,0.0384978295484333,CAH2
group_14821,-1.1553681971531,8.79808738350781,9.88100294430171,0.00166993890288571,HBB1
group_14918,-0.472211200482906,7.89473021528259,4.79387671971095,0.0285610744823202,RM42
group_14960,0.904341915105385,5.73128214173032,6.64463501308468,0.00994548505303184,PCGF3
group_14974,-1.99585410920592,5.0415513706112,15.5475826261454,8.04544562365023e-05,PROS|GAS6
group_14980,-0.53529468045541,8.24298857973796,4.35317304801359,0.0369400606637053,CSRP1
group_15056,-0.57252492369504,6.46262140362447,3.86151431542833,0.0494057178273392,RBM7
group_15107,-0.51380399330407,8.96989330183434,3.97557096700195,0.0461647997169452,PRDX6
group_15179,-1.00782772231279,7.6414018810333,11.6384726241402,0.00064601625991689,FABP7
group_15198,-2.54384774648535,4.65121398358444,17.9066209496387,2.32012554338255e-05,SKAP2
group_15209,-0.943530746827368,5.77456477457784,9.40299138469103,0.00216631710136894,RPP29
group_15223,1.55864952954761,4.44703973249977,4.36866956039466,0.0366055618088051,AACS
group_15279,-0.502132447820143,6.54017575094772,4.27040011436987,0.0387817976017445,TXD12
group_15516,-1.17709385384247,5.01411506413006,6.39807905505258,0.0114243911323349,DJC24
group_15533,-0.457697421166666,7.73535750564082,4.36750073099297,0.0366306805584946,SMD1
group_15602,-0.58887215982454,5.9259408849713,4.42596895573861,0.0353960105597605,FUCO
group_18890,0.72180594246388,5.73568134112858,4.38624028171168,0.0362301233052542,RENT2
group_1893,0.971221620172935,5.79383079924955,4.25636372893059,0.0391035398311042,F126B|HYCCI
group_19043,-0.585055734640824,6.52004317781399,5.57143732644494,0.0182557693102652,SNPC5
group_1917,1.24044059419042,4.78951899899877,5.96288956674065,0.0146100773399594,WDR19
group_193,0.653650302669687,6.30446748474483,5.02531338956478,0.0249794047587942,MYH10|MYH14|MYH9
group_2032,0.836946260877289,5.17521135136798,4.15510489447035,0.0415092027884343,RBM12
group_2257,0.600089962002913,6.1306896067424,4.71251683027343,0.029943782480825,MFSD6
group_2268,-0.794600704983171,5.21669089601702,4.38354211216587,0.0362875128684071,CHSS3|CHSS1
group_24621,0.804407443303148,5.98146708724611,5.76732835430935,0.0163268373881994,F25A4
group_24767,-0.953766787999401,5.28151247656712,5.96411962637388,0.0145998884494957,MFSD1
group_2487,1.01057263744213,5.17781869452116,4.79201026456902,0.0285920381242898,SESD1
group_24892,0.835849220063096,5.24330511768922,4.89600975793989,0.0269188269685266,UBAP2
group_25102,0.794166164078818,5.17397002632988,3.88477251840009,0.0487258629364608,FRY
group_2726,-0.540046487588503,7.38627477639552,4.73708556120219,0.0295190380139814,ECHB
group_292,1.04007269946982,5.0722139126699,4.90182557395478,0.0268283194965717,LMBL2
group_3031,0.861422000676992,5.26510853144047,3.98337366248898,0.04595144069462,ZN483
group_304,0.953181463657656,4.8780885349207,4.31988841951172,0.0376693922191587,SLIT1|SLIT3|SLIT2
group_3327,0.835438218637998,5.34722695356368,4.70653084965738,0.030048229732527,EGFL7
group_3334,-0.896879633478548,5.34412779874188,4.63322120773173,0.0313586357022342,RBM28
group_3354,0.874360740938247,5.09139408558236,4.30949967890166,0.0379001066982357,CAN5
group_3373,-0.586532034104877,6.13763093415413,4.51501951266317,0.0335985028731621,ECI2
group_3384,-0.85476614604299,5.49454414991991,5.82715423753801,0.0157806310109062,PHF12
group_34622,-1.06303173725114,5.46462526327351,4.43348684084851,0.0352404446460211,SLIK2
group_34631,0.773538388706481,5.33803881573006,4.27771401857627,0.0386152494295676,STRN
group_34647,-1.24448035862856,5.20034924246274,9.19346763925945,0.0024288033069856,CTNA1
group_34656,1.02879502958742,5.37279907865897,5.85158492351107,0.0155630286440579,RIPR2
group_34672,0.954773691021427,5.42836819868996,5.41911230610723,0.0199174838906998,RIPR1
group_34796,1.35781640419232,5.28999882092384,5.99909829460435,0.0143131920132604,MED13
group_34817,0.963447669425387,5.02365986680886,4.27208996871382,0.0387432503837979,FAS
group_34823,1.10952078603667,4.46601840583258,4.24886680036246,0.0392765302842335,LMO7
group_34841,1.38361742690843,4.76678358841346,6.2740946343557,0.0122515701940017,BD1L1
group_34903,0.859957419636192,5.38485964513884,4.20146769256562,0.0403890085964065,PCDH1
