gene_names,Group,PRJNA252803_logFC,PRJNA252803_logCPM,PRJNA252803_LR,PRJNA252803_PValue,PRJNA529794_logFC,PRJNA529794_logCPM,PRJNA529794_LR,PRJNA529794_PValue
T4S1,group_10016,-1.09660980069098,5.75751872553269,5.50148779950818,0.0190003013489015,-7.55334588090637,4.92518245196843,22.1412358916951,2.53309726260234e-06
ESS2,group_10246,1.01097792297437,4.95772523684823,4.72070612155229,0.029801502880364,1.98371073057324,5.94647603768346,6.44053605820763,0.0111544980990063
VIME,group_11949,-0.863996293185544,6.68672593952439,6.04077441971794,0.0139791508427375,-4.71095827657865,5.29935904736636,17.2252667249309,3.31991445699991e-05
WDR92,group_12036,-1.5890651543979,4.36842416632011,6.96712690525242,0.00830206905542001,1.76567241763773,5.30959118678058,5.3625321621476,0.0205738796766397
G137C,group_12213,0.816950586587862,5.42978483970797,5.71206142458339,0.0168487430196121,-3.67319709267797,4.75893867335436,5.87678946063292,0.0153417716973496
FABP5,group_12254,-0.406638772770771,8.77894660523812,3.85759333592702,0.049521314342475,-9.10786470769334,6.56482404643395,47.5491852234023,5.36410490151921e-12
HBB1,group_14821,-1.15543935993521,8.79928342941766,9.87016951305214,0.00167980031269655,-5.44925867639614,6.98896719002866,8.39987353249665,0.00375247115340569
CSRP1,group_14980,-0.535332783327134,8.24425166797212,4.34920254001952,0.0370262798496137,-6.73519231612675,6.43742229331045,37.874429996771,7.54476520199684e-10
FABP7,group_15179,-1.00765611092648,7.64554798260951,11.6228895207481,0.000651451171097102,-3.57969075864919,6.50726138039798,6.85448872426231,0.00884188542110682
RENT2,group_18890,0.725710239630256,5.73025584798304,4.39572602556532,0.0360291162263205,-4.35319801150967,5.45964348717735,11.0081292673378,0.000907131539704063
MYH10|MYH14|MYH9,group_193,0.657093273653713,6.29904576241709,5.08166726391496,0.0241801073878523,-1.54250709898272,5.42649994292313,4.12545100813387,0.0422427593354934
CHSS3|CHSS1,group_2268,-0.794290125947855,5.22456450455649,4.3626293353224,0.0367355638860233,-4.94432700394037,4.7408348514753,18.7619441612091,1.4809291644208e-05
FRY,group_25102,0.794662030518012,5.16994452546504,3.8963724437907,0.0483904865595333,-4.66914658698484,4.89339125706755,9.58675844210494,0.00195985647710387
SLIT1|SLIT3|SLIT2,group_304,0.951162762749604,4.87331944801526,4.29635631074812,0.0381941200334738,1.77654672943023,5.98650462653961,5.16690770201222,0.0230211604258438
RBM28,group_3334,-0.896484095167008,5.34677340798267,4.62361469533355,0.0315347164998986,2.39568624175002,6.97128052654486,7.79263437786146,0.00524596500708567
SLIK2,group_34622,-1.05977629055352,5.47422511720705,4.43160570643388,0.0352793033299234,-5.33192655318227,4.8072385722451,10.7043076949721,0.00106886375746631
STRN,group_34631,0.771904596516714,5.33498621009148,4.26109811313696,0.0389947064902971,-1.76092304127608,5.28148533732446,3.89300741512621,0.0484875244407202
MED13,group_34796,1.35182338865831,5.28946985863835,5.94580363928142,0.0147523637780971,-4.42482093921474,4.78134668086991,6.52931351985725,0.0106110901518724
LMO7,group_34823,1.10578038691694,4.46243484221349,4.2200841081422,0.039948180491101,7.04803835499995,8.21294614796282,33.1228473376786,8.65161234990481e-09
BD1L1,group_34841,1.40184395498336,4.7558025011869,6.30298838270101,0.0120534609174521,-5.46523404434929,5.09206357802552,11.0097725628865,0.000906327662941691
PCDH1,group_34903,0.859769940075798,5.38027483574687,4.18138398134771,0.0408703127301572,-3.60791456332533,4.80825813831557,5.40926209265866,0.0200301812934033
GCSP,group_34931,-1.00942001354194,5.28815070367781,3.90108288663896,0.0482549948973175,-6.8075482235364,4.78429270454722,20.0572417104621,7.51583867524246e-06
MYCB2,group_35154,1.82488407444777,5.01202963494961,14.8219566604647,0.000118151859280117,5.54052264587451,8.63959992899772,38.2215883457023,6.3149882483635e-10
DOCK9,group_35199,1.13554491832657,4.93636389331628,4.4083379648948,0.0357636694858315,-3.95788641695179,4.57836289045546,4.22804863576137,0.0397611291464695
CRIM1,group_4717,0.692526592102643,6.31018800344865,5.06540417502184,0.0244080131285841,-2.90421565095264,5.2914681215918,7.26145445783244,0.00704502123786985
ENV,group_4799,2.01257469815535,5.5952142720387,5.01734781717585,0.0250945775774459,4.4566725910508,8.08153984504669,20.5737518869062,5.73774416878645e-06
UNC80,group_5200,0.984238192536159,5.19987147664805,6.54847052783212,0.0104974359267043,1.49497912795208,5.52464209040467,4.93259162682734,0.026354764082794
