gene_names,Group,PRJNA252803_logFC,PRJNA252803_logCPM,PRJNA252803_LR,PRJNA252803_PValue,PRJNA529794_logFC,PRJNA529794_logCPM,PRJNA529794_LR,PRJNA529794_PValue
NFIB|NFIX,group_587,0.635119746260607,5.94053515641901,4.60787669326259,0.0318254158418463,2.13261031380101,7.6554999877805,10.9924109031451,0.000914857256582242
HBA,group_5953,-1.28050218834812,8.24424152767027,11.1814825948926,0.000826177289440377,-3.52496827175841,7.14998281386397,8.68266385646846,0.00321251091990253
MCCB,group_6170,-1.18753875199646,5.26140780398836,9.11685866131045,0.00253264495503178,-3.1304070153805,5.32335675983056,6.65077468645132,0.00991127222810578
BIVM,group_6794,0.975610428535116,5.12207495508278,5.99848572382193,0.0143181626647106,-2.71486559530398,4.72486511257062,4.49546843206918,0.0339848014682849
GPC5B,group_6970,-0.469106530373054,7.1850408729839,4.31213135558544,0.0378415223996097,-1.57084606613998,6.07958255397645,4.06462474884965,0.043790413578603
OAF,group_6975,-0.95013344499641,4.93788443837509,3.98330871020251,0.0459532124722249,-4.6472249822636,4.62994448169688,7.36204755076003,0.0066614890306119
MLC1,group_8131,-0.476475386062351,7.98762362298997,4.22332050427131,0.0398720608019814,-4.10541665944103,6.85148929300093,14.1786214573222,0.000166248706018342
RASF5,group_8146,1.53117876472734,4.33819629104646,7.08478449792614,0.0077741167615432,-4.03860828154085,4.58062099314427,5.46409609268149,0.0194110920388993
TAU,group_8242,0.4865526008406,7.74030545854117,4.11540623725182,0.0424943183906847,1.83874350586934,9.34893501732408,4.87389711585184,0.0272658591281909
PAFA,group_8464,-0.596591524132175,8.62358448304354,4.92014266646023,0.026545324985334,-4.32528536352068,7.00895046614339,26.1493488105354,3.16003659621569e-07
APOD,group_8491,-0.819503051483276,8.42510121772616,4.64979103399127,0.0310573279823272,-6.47339484993034,6.59476698448351,17.753427225607,2.51464077324321e-05
THIC|TCPA,group_9817,0.524010537466811,6.73008851518449,4.09696669599991,0.042960222288118,1.56577939760853,8.03698727001839,5.89234274576666,0.0152068570059254
RL12,group_9859,-0.51874889113277,9.68582880952008,5.50346982076104,0.0189787789281458,-3.13267925604172,8.17227623193714,14.1636885012717,0.000167573435465659
