"project","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","IQR","stdev"
"PRJNA252803",0,11.76,20.02,42.8170771385195,38.82,3200.55,27.06,92.4150141629101
"PRJNA529794",0,0,0.34,7.28967709452202,5.72,2584.95,5.72,28.1402117290147
