"PRJNA252803__1","PRJNA252803__2","PRJNA529794__1","PRJNA529794__2","PRJNA252803_log2fc","PRJNA529794_log2fc","group_num"
585.73275,562.0685,71.9285714285714,111.398208333333,-0.06,0.63,"group_10077"
169.9895,93.68375,25.6327857142857,10.4935,-0.86,-1.29,"group_10078"
16.79475,12.64325,0.619464285714286,1.736875,-0.41,1.49,"group_10079"
27.22025,29.54325,0.816214285714286,0.814375,0.12,0,"group_10081"
103.61625,127.54775,2.83592857142857,3.59141666666667,0.3,0.34,"group_10082"
103.61625,127.54775,2.83592857142857,3.59141666666667,0.3,0.34,"group_10083"
54.322,56.4565,21.0057857142857,26.502125,0.06,0.34,"group_10084"
12.5115,12.926,0.0622857142857143,0.5566875,0.05,3.16,"group_10085"
336.41,355.65075,10.2937142857143,2.78333333333333,0.08,-1.89,"group_10086"
32.1675,36.51925,4.48857142857143,10.51325,0.18,1.23,"group_10087"
23.583,24.59675,15.1054285714286,18.34125,0.06,0.28,"group_10088"
30.93025,34.5015,4.44578571428571,4.10954166666667,0.16,-0.11,"group_10089"
19.113,23.569,2.95121428571429,2.05433333333333,0.3,-0.52,"group_10091"
25.2335,25.6845,9.7855,13.466125,0.03,0.46,"group_10092"
14.44325,11.3525,1.25135714285714,3.263125,-0.35,1.38,"group_10094"
9.75,11.80575,1.15821428571429,2.33004166666667,0.28,1.01,"group_10095"
44.21625,44.44875,5.10742857142857,8.10633333333333,0.01,0.67,"group_10096"
20.87625,19.017,4.91021428571429,5.27283333333333,-0.13,0.1,"group_10097"
33.4345,29.46225,3.8145,3.66945833333333,-0.18,-0.06,"group_10098"
24.4325,29.73825,0.0159285714285714,0.782208333333333,0.28,5.62,"group_10099"
11.676,13.3545,1.41064285714286,2.26764583333333,0.19,0.68,"group_101"
29.36,32.41325,6.14964285714286,11.7561666666667,0.14,0.93,"group_10100"
5.118,7.737,1.37985714285714,1.29983333333333,0.6,-0.09,"group_10101"
334.97825,294.69875,76.7826428571429,70.331125,-0.18,-0.13,"group_10102"
14.57975,17.00725,0.00521428571428571,0.484375,0.22,6.54,"group_10103"
12.79725,18.601,0.0253928571428571,1.3685,0.54,5.75,"group_10105"
20,22.972,5.12792857142857,5.89777083333333,0.2,0.2,"group_10108"
132.127,133.5685,111.763357142857,77.4125,0.02,-0.53,"group_10109"
70.1473333333333,73.2785833333333,9.56535714285714,14.9787361111111,0.06,0.65,"group_1011"
17.3405,18.41275,1.48807142857143,2.50775,0.09,0.75,"group_10110"
13.064,11.916,1.09485714285714,1.27354166666667,-0.13,0.22,"group_10111"
42.9915,42.0725,2.80485714285714,7.97670833333333,-0.03,1.51,"group_10112"
509.452,452.48025,58.9214285714286,46.62275,-0.17,-0.34,"group_10113"
18.12725,22.03525,2.39157142857143,2.413875,0.28,0.01,"group_10114"
24.395,24.00825,2.19714285714286,2.77545833333333,-0.02,0.34,"group_10118"
19.91325,17.0495,2.11078571428571,2.10735416666667,-0.22,0,"group_10119"
49.12375,52.61175,4.44971428571429,8.588625,0.1,0.95,"group_1012"
31.419,22.53675,1.90807142857143,4.25054166666667,-0.48,1.16,"group_10120"
33.61025,35.5295,4.7615,6.65316666666667,0.08,0.48,"group_10121"
11.49175,8.11025,3.79128571428571,7.26325,-0.5,0.94,"group_10122"
13.348,13.3825,2.41064285714286,3.71891666666667,0,0.63,"group_10124"
25.36125,21.27975,3.842,5.02608333333333,-0.25,0.39,"group_10125"
49.39475,41.4935,0.173928571428571,1.905,-0.25,3.45,"group_10127"
17.44925,16.3725,2.22264285714286,4.72979166666667,-0.09,1.09,"group_10128"
11.445,16.169,3.18542857142857,7.11370833333333,0.5,1.16,"group_10129"
25.7915,27.533,5.46285714285714,14.8544166666667,0.09,1.44,"group_1013"
156.12825,130.2475,18.2733571428571,21.6214583333333,-0.26,0.24,"group_10131"
8.518,13.483,0.891285714285714,2.046875,0.66,1.2,"group_10132"
7.6565,10.8725,1.295,3.77229166666667,0.51,1.54,"group_10133"
15.055,16.667,3.87971428571429,1.994375,0.15,-0.96,"group_10134"
122.22475,116.235,46.9262142857143,64.6399583333333,-0.07,0.46,"group_10135"
36.977,42.0325,0.218607142857143,0.27925,0.18,0.35,"group_10136"
15.6125,14.14725,0.3875,0.810166666666667,-0.14,1.06,"group_10137"
41.4985,34.03025,13.1412142857143,24.4849583333333,-0.29,0.9,"group_10138"
8.6675,7.64625,5.84835714285714,8.7775,-0.18,0.59,"group_10139"
49.05525,54.427,0.348178571428571,1.1155,0.15,1.68,"group_1014"
26.49375,31.09525,17.6506428571429,27.8929583333333,0.23,0.66,"group_10140"
35.03425,32.97075,10.4614285714286,16.8938333333333,-0.09,0.69,"group_10141"
13.23625,17.05425,1.71692857142857,4.80245833333333,0.37,1.48,"group_10142"
11.86325,11.2725,0.506357142857143,0.719354166666667,-0.07,0.51,"group_10143"
17.15475,21.8495,0.947857142857143,1.698125,0.35,0.84,"group_10144"
9.5595,12.21525,2.96978571428571,6.7598125,0.35,1.19,"group_10145"
9.70175,10.23075,0.124857142857143,1.3549375,0.08,3.44,"group_10149"
13.06375,15.6021666666667,5.18510714285714,5.63445833333333,0.26,0.12,"group_1015"
49.9775,41.203,2.47571428571429,4.401375,-0.28,0.83,"group_10150"
103.87675,95.5725,6.71621428571429,7.3580625,-0.12,0.13,"group_10151"
11.82925,12.01675,0.941142857142857,2.433625,0.02,1.37,"group_10152"
11.207,9.5325,1.78571428571429,0.74425,-0.23,-1.26,"group_10153"
14.4445,22.48325,0.184571428571429,1.10345833333333,0.64,2.58,"group_10155"
861.10975,712.73175,66.7500714285714,86.9450416666667,-0.27,0.38,"group_10156"
12.5865,12.25,1.9825,6.28895833333333,-0.04,1.67,"group_10157"
11.9925,9.463,3.63614285714286,4.22141666666667,-0.34,0.22,"group_10158"
9.051,8.33925,1.6595,3.12795833333333,-0.12,0.91,"group_10159"
46.02075,48.6845,1.94067857142857,2.70047916666667,0.08,0.48,"group_1016"
8.54025,7.2245,2.00578571428571,1.207625,-0.24,-0.73,"group_10160"
8.23025,7.2505,1.25764285714286,4.39933333333333,-0.18,1.81,"group_10161"
8.9855,5.32775,1.01053571428571,0.802770833333333,-0.75,-0.33,"group_10162"
20.1015,21.01725,2.21128571428571,3.21579166666667,0.06,0.54,"group_10164"
7.60925,6.20075,0.649714285714286,1.65429166666667,-0.3,1.35,"group_10165"
24.00575,21.25575,0.210071428571429,0.686645833333333,-0.18,1.71,"group_10166"
