,logFC,logCPM,LR,PValue
Mgp,-7.97334435594155,2.97634368885201,21.4360232354775,3.65832975721049e-06
Rasgrp2,-7.34460645865732,2.7786303195588,20.9687204608695,4.66843540038398e-06
Scn4b,-7.1978358657452,2.90759938565891,15.5041108830906,8.23260192030308e-05
Shox2,-7.16086391630574,3.2585458793318,14.6398552718773,0.000130133200943489
Zfp599,-6.98407151596707,4.02061699601331,18.5336516631522,1.66930844213312e-05
Cldn11,-6.8374155751718,4.07072811002907,18.6227070380681,1.59311663214281e-05
Gabrg1,-6.80046831854127,2.64158549142306,16.6282593357516,4.54684864643586e-05
Prkcd,-6.76532485402929,4.74608824434645,13.5599688307757,0.000231060934170669
Rbp1,-6.73024183830267,3.30638996643855,13.5968736931324,0.000226562519651506
Rcan2,-6.66060200645875,5.42302122559515,26.0652257107584,3.30075589714417e-07
Adgrf5,-6.57319809106106,1.09639934383839,18.3913087866912,1.79876573843051e-05
Bgn,-6.47614607153229,1.82366473228521,16.5724825495959,4.68255364039921e-05
Gja1,-6.46305114882696,5.13878317790712,22.0638742984454,2.63726543962567e-06
Tm4sf1,-6.44471243733671,1.39550320755647,17.5492352067323,2.79963365550626e-05
Apod,-6.4301714810141,4.13700349140071,21.5076777245063,3.52414870785344e-06
Pou3f4,-6.42969959950148,1.41290352064622,19.257027433678,1.1424906543013e-05
Tril,-6.37628314014812,3.27857302140887,11.1938004878129,0.00082071074918044
Ndnf,-6.35534578080252,2.49323721760632,14.8132260368096,0.000118700095651242
Slc17a6,-6.3457263372154,4.56251693227111,22.2236274937426,2.42669073701388e-06
Medag,-6.24817109191364,1.59955242439814,11.269600990103,0.000787866616322994
Ramp3,-6.21933842117475,2.84700282859697,11.854150992932,0.000575329591677931
Rnf152,-6.16227925634341,2.98308327914589,12.5914007919264,0.000387525592736915
Tmem218,-6.11989159794119,2.53490120782991,10.9768598370747,0.00092256621080323
Meis2,-6.10779124594343,2.81533123254044,6.77845434504926,0.00922647524288242
Cldn5,-6.00472146739854,1.7014926536059,12.7247543413741,0.000360847252139158
Sox2ot,-6.00111160255159,3.05060491554273,14.2110703495334,0.000163406349955422
H2ac10,-5.98191149026512,0.199353990571736,14.1046365405915,0.000172917026312096
Mylk,-5.95924057393527,3.79048287972894,10.2634629047379,0.00135690742513817
Flt1,-5.95854305187757,2.16671725307203,13.166338186797,0.000285023169216125
Kctd18,-5.9563333067857,4.07416087402466,11.0629516391584,0.000880698304718424
Plekhg1,-5.94657204806597,3.36503585803149,17.0396186541118,3.66079632439729e-05
Htr2c,-5.93702511622867,1.74463191493862,11.8096600383352,0.000589241908712638
LOC115487155,-5.9118606125231,3.41925775239654,8.18660897253249,0.00422007327674003
Gm52214,-5.85630860206983,2.25629879054687,16.2380328813955,5.58613252273088e-05
Decr1,-5.79086630655834,4.65930586080307,12.7303948983447,0.000359760572108343
Rasgef1b,-5.78827012939854,2.52855912362814,8.42711316591181,0.00369666776427151
Scrg1,-5.78119805856843,2.58572566029274,7.10168913184389,0.0077011342949868
Ccdc126,-5.77433169562354,3.07648465356974,8.67018535185542,0.00323458290742047
Anxa2,-5.7376221627458,3.00213038160908,17.2990102314386,3.1935315013213e-05
B3gnt5,-5.73670286559174,1.05404290522172,12.1093638693645,0.000501692476280389
Cpne7,-5.71062257471135,2.34580636099397,9.63791546855189,0.00190601423911523
Serpinh1,-5.69884225075364,1.14953796533854,11.5937322417935,0.000661744703992069
Itm2a,-5.61060791815135,2.71978335464881,11.5574116188469,0.000674797265575302
Nr2e1,-5.55705672230823,2.64657278593278,7.61341757178254,0.00579355769655299
Dpp10,-5.49638971533334,3.21927821409404,11.7700298645691,0.000601920125007061
Hapln4,-5.49561902299518,4.87597916797705,13.8480570801054,0.000198201559128
Sema4a,-5.49288804989857,1.61363551370193,10.0613436275738,0.00151412760549308
Zfp78,-5.48727556001976,3.40027303829332,7.85331496331238,0.00507276088127949
Gm41222,-5.44703131292307,0.311430163430421,11.4023562497514,0.000733510118740293
Fxyd7,-5.44682720496105,1.48056321849186,8.71326645301588,0.00315902668907324
Lef1,-5.44671005282598,2.22609162322608,10.4621636416794,0.00121844483496706
Tmub1,-5.43007742134905,3.37463548248995,8.65254822529238,0.00326604260688628
Lhfpl3,-5.42387786337988,2.70865991063755,11.1060595064601,0.000860461181946271
Pld5,-5.40757342169154,1.33729364086394,10.673985214807,0.00108652778198563
Six3,-5.39429072766089,0.89190186175154,11.4593173739319,0.000711364260629368
Tnnt1,-5.38360484471162,1.63453376474381,10.6333323128056,0.00111067397671811
Cacna2d2,-5.33965485377412,1.75525130091284,10.3249494333982,0.00131243855939375
Tcf7l2,-5.32196475844336,5.21436281260358,20.3480901811683,6.45574889759399e-06
Dcn,-5.31511822096852,3.05204386860582,10.8252258088708,0.00100126482115994
Plch2,-5.30629131129699,2.62411997829186,7.05193415800355,0.00791797093112179
Tshz2,-5.30113154072408,3.87510803490351,10.4252334936215,0.00124305140848873
Igfbp2,-5.27589353208469,4.18830967451296,8.55752131426665,0.00344097603416494
Pde11a,-5.22904390002135,2.56865169948538,10.9633781459203,0.000929302468475702
Col1a2,-5.21164599117394,2.16150607468797,8.20413958350622,0.00417949238364951
Gm22270,-5.21084278592808,2.2714401800134,10.577841446002,0.00114451217419921
Ttyh2,-5.20149775645599,1.46217090754963,9.60015631803951,0.00194560805905038
Cryab,-5.19443004870319,4.71346816138482,10.653679847937,0.00109852124776839
Epas1,-5.19409666861953,4.04662279753019,9.54905871165127,0.00200051979743186
Slc32a1,-5.18164317513346,2.24198750364208,9.73359876305868,0.0018092989224667
Igfbp6,-5.14714786710489,2.97755425458116,9.7658925822912,0.00177779183242668
Elavl2,-5.11365793029578,5.21833339358523,17.4808104433763,2.90222316198004e-05
Foxp2,-5.11246377059458,4.25210679210516,9.10278151497955,0.00255221080048858
Phlda1,-5.10608859871144,2.83956458346321,4.83978991788708,0.0278102827768722
Ifitm3,-5.1038265329552,3.70044359380289,10.5012057656355,0.00119296671127032
Kcnq5,-5.10043894829281,1.96570665108992,5.93583707253844,0.014836020400247
Man1a,-5.09916769570211,2.08419503959755,9.46341766621916,0.00209610167273611
Aldh1a2,-5.07815357735141,1.22907605810758,10.3856067748179,0.00127001444263553
Slc39a12,-5.06634193714402,1.67565217088522,7.4482277697184,0.00634989409517164
BC107364,-5.0106351960788,-0.295562573728403,12.5660318388274,0.000392821792250219
Sox2,-4.97975360549204,3.18525582973704,8.8464631720265,0.00293657386625299
Scd1,-4.95908994231367,3.13814866610349,6.56062230596872,0.010425989942331
Clmp,-4.94632483854916,2.74627317256544,6.66139962758898,0.00985235031550715
Npr3,-4.93157056244635,1.97610300547251,10.0822083259243,0.00149707804448073
Acot1,-4.93017405894377,2.65762458956151,6.07996559555637,0.013672343342536
Gprin3,-4.91442442406373,1.84369234416453,6.75140380267076,0.00936739543990035
Cartpt,-4.90051266187907,2.79619682092869,10.5969445267451,0.00113274701545459
Tspan2,-4.89339997746636,3.70548218079221,8.76016727183291,0.00307880810009707
Vim,-4.87634479846665,2.8224055126114,5.32769026910142,0.0209891829999558
Alpl,-4.87005394512708,1.19847308265675,9.34756616542328,0.00223281789181249
Litaf,-4.86793329315803,1.61842362467258,9.24372719544026,0.00236303485713846
Col6a1,-4.86689928787791,1.77790744802902,10.7446609827513,0.00104580597548318
Zcchc24,-4.86228608940791,3.25852137627288,5.265256282645,0.0217552193160349
Anln,-4.85740248593856,2.9770442573395,9.33360886995041,0.0022498882460414
Gjc3,-4.8261618200906,3.70034666963398,10.6052961371384,0.0011276419564949
Zfp605,-4.78809403958631,3.99643764585672,11.86999683426,0.000570455094929099
Ptprv,-4.78224163256414,0.169665683170587,12.7138110117235,0.000362964987727414
Aldh1a1,-4.77977192926485,4.39775705730386,6.69119438486108,0.00968902703001103
Pcdhb13,-4.77357855933484,2.20310018098255,6.65215289066438,0.00990360888932515
Tox,-4.76669517135272,2.15627246877455,9.08819742840112,0.00257264308967587
Tfeb,-4.7320125084658,2.00403261765458,7.69290147746529,0.00554384310521297
Kcnt1,-4.72951636568582,1.38590688636767,7.30605441936723,0.00687226581042832
Rasip1,-4.72724455253309,1.48075393173011,11.4970182391679,0.000697079257993226
