Row.names,PRJNA252803_log2FoldChange,PRJNA252803_pvalue,PRJNA252803_padj,PRJNA529794_log2FoldChange,PRJNA529794_pvalue,PRJNA529794_padj,Gene Name
0610009E02Rik,-4.72756767914601,0.0167890565406663,0.0167890565406663,6.26130791545162,1.8217310470214e-05,1.8217310470214e-05,0610009E02RIK
2500002B13Rik,-2.79812266894158,0.0476326044762793,0.0476326044762793,4.4671173216036,0.0213931400995552,0.0213931400995552,2500002B13RIK
2810459M11Rik,-0.642997366153158,0.00571214176613117,0.00571214176613117,22.7279650509207,1.46736067675525e-15,1.46736067675525e-15,2810459M11RIK
Apod,-0.819654970708767,0.0185555386349309,0.0185555386349309,-4.03196743528077,6.0023683633594e-05,6.0023683633594e-05,APOD
Atp1a2,-0.450472382258904,0.0366330945309915,0.0366330945309915,-2.43130543763412,3.82601507516104e-05,3.82601507516104e-05,ATP1A2
Atp5md,-0.542258408680209,0.0288701531813756,0.0288701531813756,-1.35673078272654,3.02829470337166e-06,3.02829470337166e-06,ATP5MD
Car2,-0.646868750068301,0.0185584906379423,0.0185584906379423,-2.06155056843725,0.00900230278433984,0.00900230278433984,CAR2
Cdkn2c,-1.16292673525407,0.0461590545137034,0.0461590545137034,-6.66213039470269,0.000795824179964032,0.000795824179964032,CDKN2C
Cetn4,0.830677557858947,0.0428213082521708,0.0428213082521708,-2.37315491035735,0.0107697364204579,0.0107697364204579,CETN4
Dhrs4,-0.852051191979442,0.0403143351280136,0.0403143351280136,6.34166170283175,6.53490336760112e-08,6.53490336760112e-08,DHRS4
E430024I08Rik,-0.824051592269134,0.0478408399555021,0.0478408399555021,3.3384778565765,0.0260295566371919,0.0260295566371919,E430024I08RIK
Ecm2,-1.32339845598856,0.00785807893465324,0.00785807893465324,5.86066343587745,1.61773407976142e-06,1.61773407976142e-06,ECM2
Emp2,-0.430618431903614,0.0290920972525501,0.0290920972525501,1.85772908206961,0.0342196016526515,0.0342196016526515,EMP2
Enpp2,-0.710651347468631,0.0273067356068382,0.0273067356068382,-3.01959121890604,0.0284284028141726,0.0284284028141726,ENPP2
Fam205c,2.74360084539794,0.0073039858750871,0.0073039858750871,7.35711091188614,1.30656551153854e-05,1.30656551153854e-05,FAM205C
Foxp2,1.14736761864229,0.00696069699271893,0.00696069699271893,-3.06550918045005,0.00538816877298176,0.00538816877298176,FOXP2
Fth1,-0.508776980471169,0.0265939552038655,0.0265939552038655,-0.773785169564089,0.00358006038120537,0.00358006038120537,FTH1
Fut10,-1.52999410335851,0.00599729870482278,0.00599729870482278,6.00113371715331,0.000475027819861206,0.000475027819861206,FUT10
Gab1,-0.70598059374632,0.0224426585214968,0.0224426585214968,-4.09181994648346,0.00058344094615959,0.00058344094615959,GAB1
Gjb2,-1.07123246043722,0.024336705625288,0.024336705625288,-5.60632447648259,0.00341904159647054,0.00341904159647054,GJB2
Gm13584,-2.75040748876058,0.0376835716808034,0.0376835716808034,6.11916720599087,1.35572980901488e-06,1.35572980901488e-06,GM13584
Gm16322,2.52086430026662,0.0218722013993763,0.0218722013993763,3.48068016033212,0.0207717188003058,0.0207717188003058,GM16322
Gm27151,-2.8929588045066,0.014124232408902,0.014124232408902,2.50997581364137,0.00588634321390397,0.00588634321390397,GM27151
Gm31159,-4.92408144177821,0.0156003028728913,0.0156003028728913,2.66223352364352,0.00691712806788984,0.00691712806788984,GM31159
Gm36195,-4.91554224235224,0.0340978120825512,0.0340978120825512,4.46640788297834,0.00151412084581091,0.00151412084581091,GM36195
Gm39002,5.54048078065054,0.0029963679156534,0.0029963679156534,4.89845946760461,0.0206942327166764,0.0206942327166764,GM39002
Gm46805,1.499157950524,0.0173922853405259,0.0173922853405259,5.2609500914202,0.00238351828339319,0.00238351828339319,GM46805
Gm51963,2.394604035961,0.000841093034837353,0.000841093034837353,-1.07950114484678,0.0244008451742391,0.0244008451742391,GM51963
Gm52134,-5.08196222293523,0.0234044948731073,0.0234044948731073,9.01428210119284,1.99920875706928e-05,1.99920875706928e-05,GM52134
Gng11,-1.06017979970441,0.0163518075478505,0.0163518075478505,-4.49784553810134,0.000219409132578449,0.000219409132578449,GNG11
Gpr88,-0.539606894141406,0.0395898504654145,0.0395898504654145,-3.21344096247926,0.039064221698231,0.039064221698231,GPR88
H13,0.57588442037845,0.0272089970182669,0.0272089970182669,1.26913506902904,0.0266399899598377,0.0266399899598377,H13
H2bc4,-1.14242350237602,0.000617479656068672,0.000617479656068672,-1.32209213710259,0.00515223641657656,0.00515223641657656,H2BC4
Hspa1a,-1.23052337060156,0.00663136837501518,0.00663136837501518,2.64731588099667,0.0459032661053372,0.0459032661053372,HSPA1A
Htr5a,0.432672219159307,0.0356434807963874,0.0356434807963874,-5.94467320335798,0.0171333954131656,0.0171333954131656,HTR5A
Klhl1,1.61820685354292,0.0279069331617684,0.0279069331617684,-6.61601622496324,0.016221929173252,0.016221929173252,KLHL1
Ksr2,0.879576270895054,0.0254633883419837,0.0254633883419837,2.5081391651544,0.0194325489062954,0.0194325489062954,KSR2
Layn,-0.970477684656817,0.0404020338409773,0.0404020338409773,2.50396955090965,0.00951533124957557,0.00951533124957557,LAYN
LOC118567548,-2.73892439239416,0.0490178533993771,0.0490178533993771,5.89165558401168,0.00150116997708666,0.00150116997708666,LOC118567548
LOC118568243,4.13552034107822,0.0407262551927012,0.0407262551927012,2.95915950164873,0.0209223353361421,0.0209223353361421,LOC118568243
LOC118568531,4.28005289832079,0.0242697880874395,0.0242697880874395,3.96001678858936,7.29654554324811e-05,7.29654554324811e-05,LOC118568531
