Row.names,PRJNA252803_logFC,PRJNA252803_PValue,PRJNA529794_logFC,PRJNA529794_PValue,Gene Name
2810459M11Rik,-0.654162363354033,0.00213173244795128,2.8753526663721,0.00663899167127052,2810459M11RIK
4931408D14Rik,2.7701841979862,0.0287567375490849,-3.85086105078908,0.00345794108172619,4931408D14RIK
6330418K02Rik,-2.10466297300011,0.0225368284820369,2.71149125885281,0.0468468198906789,6330418K02RIK
Aacs,0.434968412704547,0.0354404058952447,3.96951858062145,0.016831465492009,AACS
Abca9,-0.786368881888113,0.0016768723211731,3.35082219676467,0.0238381172511865,ABCA9
Abi2,0.380775661496713,0.0280583871377011,4.408595769955,0.0102916333684689,ABI2
Acsbg1,-0.359476356815663,0.0404277413717833,-4.57208836313875,0.0046484116012678,ACSBG1
Adgra2,-0.722388544942596,0.0263818049876982,3.56292378751587,0.0174018512809565,ADGRA2
Aldh1a2,-0.806881272053939,0.0418035331776511,-5.07815357735141,0.00127001444263553,ALDH1A2
Ankrd54,-0.805133027448492,0.0468548243199795,3.0918708918433,0.0322805892273145,ANKRD54
Ascc2,0.592694001459735,0.0352629923155701,3.08134738151862,0.0178602303714558,ASCC2
Atp1a2,-0.461721868845806,0.0104075233232088,-2.35122645516059,0.00173794432436883,ATP1A2
Bbs10,0.991893146901279,0.0258902779011065,3.99975924349685,0.00477275407121558,BBS10
Bbs9,0.566534625124371,0.0153629739577487,5.93798891915116,0.00103130901151038,BBS9
Bco2,-1.76164083778041,0.0359763318978985,2.05120007568656,0.0366990380953388,BCO2
Camk2n1,-0.489464158247318,0.0346676152799608,-1.28782903330084,0.0288457618843251,CAMK2N1
Car2,-0.557296435579738,0.0112415225012655,-3.80836340496811,0.000621136449073156,CAR2
Carmil3,1.76739702314665,0.000927210040393441,5.33705126107785,0.0138071046783155,CARMIL3
Carnmt1,-1.27892599319139,0.0123078737512287,4.87150884133879,0.00386161947257337,CARNMT1
Casp8,-0.865354312484844,0.0357889954730975,2.64693254344503,0.0162955888148102,CASP8
Casq2,-0.949567239674445,0.0391332053369901,-2.10501637848554,0.021372999146951,CASQ2
Cass4,-3.97790416008725,0.00151335824274751,2.66778344158979,0.00845122813317335,CASS4
Cdkl2,0.384750167682951,0.0283536656217508,2.28255179743442,0.0400449758649646,CDKL2
Cep250,0.808251868655712,0.021885147465719,3.50270195673555,0.0200379665377251,CEP250
Chrm2,0.480420317197966,0.0208582604868549,-2.36846097242384,0.0251947830235832,CHRM2
Ciapin1,0.435084296872816,0.0126069835254175,2.93404552527145,0.036269640943659,CIAPIN1
Cldn5,-0.803066861823509,0.0125327090458052,-6.00472146739854,0.000360847252139158,CLDN5
Clec14a,-0.933983494454656,0.0479237075068092,3.59356469969592,0.0298142966310498,CLEC14A
Col4a1,-0.912742295952667,0.0189333891072106,4.08756989237624,0.00806950804129171,COL4A1
Creg2,0.413942518968543,0.0171024800240147,-2.18653554020533,0.0353586485841245,CREG2
Cyb5r4,0.512007801583293,0.0153583461751125,2.99771510989256,0.0412393048050306,CYB5R4
D130037M23Rik,1.37150362278905,0.0245323191735468,4.05839437518258,0.0395665264499478,D130037M23RIK
D830031N03Rik,0.871132356667475,0.0284264889848495,3.20481993722947,0.0349497751539031,D830031N03RIK
Dab2ip,0.341062248683546,0.0465716835575132,4.06371825822082,0.0298505263472241,DAB2IP
Dctn1,0.401350790254859,0.017629620560467,1.46288398923725,0.0408403120254967,DCTN1
Decr1,-0.541458558043805,0.0163716826944895,-5.79086630655834,0.000359760572108343,DECR1
Dgcr8,0.472961778111223,0.0363501561595483,3.39292378577993,0.011402988217856,DGCR8
Dhrs4,-0.885531301075967,0.021381595296354,5.84767263005574,0.000609048656256917,DHRS4
Disp3,-0.520874106340164,0.0422576015627942,2.42495795410207,0.0464021992063186,DISP3
Dusp11,-0.494708315293625,0.0239315133599498,2.89934142435048,0.0115305897982825,DUSP11
Eci2,-0.59069561113873,0.00495614681963907,3.03718980392934,0.0343586424284599,ECI2
Egfl7,0.764175723738436,0.0342266347520085,7.78198239806717,2.22442448703048e-05,EGFL7
Elf4,-2.35223302783709,0.0010777532555258,1.65259946571889,0.0357245206910011,ELF4
Elk3,-0.765837426427846,0.0116586208668888,5.26059848287637,0.00406144965856238,ELK3
Emp2,-0.438488117065871,0.0111899514846587,2.39793769842799,0.0436352437016093,EMP2
Eya4,-0.702778999948576,0.0482511121427391,2.71752707103662,0.0421508717524539,EYA4
Fam205c,3.42872833357352,0.00121859414536554,5.03843524167007,0.00104918424862844,FAM205C
Fam43b,0.470935455520691,0.0442992624418516,4.42329767775743,0.00908799666969926,FAM43B
Fbxw10,-2.58318302995806,0.0180674761594037,1.73487769325007,0.0304108177338956,FBXW10
Fcrls,0.88620359292786,0.0115640886020106,7.13664536105324,0.000166960609658147,FCRLS
Fezf2,0.498563512846173,0.0256365623838273,3.48639304243587,0.0234312718689638,FEZF2
Fgd6,-0.517631659343928,0.0406170534564221,3.36388778489117,0.0120915659308382,FGD6
Fli1,-1.0487661900278,0.0469432082202585,-3.094104898809,0.0036621469012225,FLI1
Fn1,-0.493878500705607,0.0370282127256094,-3.43523113125945,0.0274290641950167,FN1
Fstl5,0.481656381136961,0.0241206539553182,-3.99436934827079,0.0314395864943475,FSTL5
Gba2,0.561537685127175,0.0210775730052095,4.02890958200235,7.72477345473113e-05,GBA2
Gcsh,-0.451783862323257,0.0165996857125853,-2.54342076132076,0.026998144829852,GCSH
Gja1,-0.412707776705484,0.00997898593695685,-6.46305114882696,2.63726543962567e-06,GJA1
