,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Obp1a,105.618203153286,23.8511182616426,3.38373807721234,7.0487483715915,1.80534277847654e-12,1.80534277847654e-12
Ddit4l,260.391467254812,-1.3747940517027,0.30923380917723,-4.44580770569872,8.7562247643979e-06,8.7562247643979e-06
Agt,33.0635009839016,-3.09599143438077,0.715776395641173,-4.32536117876234,1.52282145269068e-05,1.52282145269068e-05
Pantr1,765.28710620674,-0.854153152860103,0.208100493449651,-4.10452247710198,4.05150880559134e-05,4.05150880559134e-05
Gm10635,13.4212509958819,4.79155578331504,1.29044916151767,3.71309147714103,0.000204742840211085,0.000204742840211085
Uevld,51.2366012163058,-2.2055479418482,0.596494202723921,-3.69751781622764,0.00021771794341108,0.00021771794341108
Tmem100,171.477496203153,-0.953959562100227,0.263065493702547,-3.6263196235797,0.000287489474164807,0.000287489474164807
Nell1,570.406074912659,1.10022543154642,0.310693721305265,3.54118978305781,0.000398326954909931,0.000398326954909931
Pop4,176.552041237741,-1.03362970831664,0.292956525046183,-3.52826996481368,0.000418285325978433,0.000418285325978433
Aox3,23.7598570065407,-2.19643438604208,0.627444157359424,-3.50060536906694,0.000464202686474981,0.000464202686474981
Kcnj13,9.85829701045766,-4.00574812593252,1.15513291441222,-3.46778113233041,0.000524774508447623,0.000524774508447623
Gm31069,4.11639021443306,5.52843170251661,1.59564225283237,3.46470626025557,0.000530810914940103,0.000530810914940103
Mpc1,59.0636208701992,-1.35085617437879,0.390254329098002,-3.4614764620319,0.000537221095778496,0.000537221095778496
H2bc4,104.328126136218,-1.14242350237602,0.333669462137041,-3.42381797560731,0.000617479656068672,0.000617479656068672
Fabp7,447.524036221438,-1.01649165695868,0.298233855876249,-3.40837110519225,0.000653519513114191,0.000653519513114191
Slfn8,9.36376121994146,-4.05664084342514,1.21135157799173,-3.34885504516413,0.000811462379116146,0.000811462379116146
Gm35065,3.96934051527702,-5.4209441658596,1.62098214661461,-3.34423434408648,0.000825100089055296,0.000825100089055296
Gm40578,52.4623452209674,-2.03979627621132,0.61048948832497,-3.34124717168842,0.000834029380760923,0.000834029380760923
Gm51963,27.1477324261038,2.394604035961,0.717182426209263,3.33890506578348,0.000841093034837353,0.000841093034837353
C030047K22Rik,5.10486351310453,5.8352638333663,1.75679043441524,3.32154804526164,0.000895195686221302,0.000895195686221302
Spink10,23.6573048109204,2.10719889018693,0.638147970877983,3.30205373416416,0.000959796814408336,0.000959796814408336
Hbb-bs,229.163219096949,-1.089526323578,0.331868771133859,-3.28300345903454,0.00102707405418488,0.00102707405418488
Adamts4,113.266176084628,-1.61265589136974,0.495053381487979,-3.2575393920603,0.00112382659089659,0.00112382659089659
Lrriq1,26.6805444217635,1.73443821441663,0.534586715092267,3.24444690720994,0.00117678953117242,0.00117678953117242
Cr2,3.76249581937496,-5.34278169697677,1.67056176423925,-3.19819465005522,0.00138290901147312,0.00138290901147312
Gbp2,42.6334289308643,-2.06518569432684,0.646033849920359,-3.19671437430319,0.00139002493824483,0.00139002493824483
Fmo1,121.029581166409,-1.30466662766874,0.410224913489508,-3.18036907259194,0.00147087588579521,0.00147087588579521
Bdh2,9.95891679423898,-3.24288451741584,1.02138760404201,-3.17497931694349,0.00149847181705151,0.00149847181705151
Pisd-ps3,67.5799559036058,-1.29912925532356,0.409360216702826,-3.17356011238058,0.00150581716459114,0.00150581716459114
Psd4,5.24611142684965,-5.06626789893387,1.60601989677883,-3.15454865104425,0.00160746574637493,0.00160746574637493
Zfp804b,43.8605016843195,1.47993464211965,0.469380955211723,3.15294991347081,0.00161629536579256,0.00161629536579256
Elf4,16.1016351286969,-2.24948297811712,0.724800878668911,-3.10358754289629,0.00191189662843099,0.00191189662843099
Pcdha9,45.029386746028,1.30219200937933,0.419949739458313,3.10082823496691,0.00192980198051231,0.00192980198051231
Susd2,71.165872677572,1.09230776873895,0.353142980839532,3.09310343969513,0.0019807508162598,0.0019807508162598
Ctxn3,24.0497163157446,-2.19626970447391,0.717826993798449,-3.05960868488957,0.00221626357019231,0.00221626357019231
Pla2g4e,133.494325772506,1.57581248824326,0.517082357852344,3.04750774091047,0.00230747582848253,0.00230747582848253
Gm52620,4.25776196298218,4.81299025980846,1.58027694838121,3.04566251171274,0.00232168273373096,0.00232168273373096
Liph,5.43432227128059,-5.11997855707081,1.68762510745567,-3.03383644534058,0.00241465298905937,0.00241465298905937
Mafa,4.3269284699089,4.84511503486622,1.61527266327209,2.99956480725141,0.00270365599889752,0.00270365599889752
Gbp6,4.10668423302347,-4.69825022096953,1.57441671183181,-2.98412115779893,0.0028439413547964,0.0028439413547964
Sla2,4.2453932632599,5.575008710411,1.87754104293648,2.96931389669739,0.00298465540172045,0.00298465540172045
Gm39002,4.15803768846329,5.54048078065054,1.86666944001115,2.96811029413834,0.0029963679156534,0.0029963679156534
Gm41069,27.488515363636,1.60387788918174,0.548080581774448,2.92635415761141,0.0034296026667856,0.0034296026667856
Pde7b,368.629217418421,-0.901988255225128,0.309212839467597,-2.91704657794344,0.00353363000126609,0.00353363000126609
Gm12371,78.6213737748062,-1.32368319048901,0.454831861720446,-2.91026927067521,0.0036111748819807,0.0036111748819807
Rmdn1,65.9568988952959,-1.13041195879649,0.388619160531385,-2.90879110862883,0.00362829203564927,0.00362829203564927
Depdc7,13.1510391913341,-2.32037329860294,0.798503700909026,-2.90590174592979,0.0036619641777998,0.0036619641777998
Slc5a12,3.8905365953713,4.68643108956275,1.61693465477445,2.89834290812233,0.00375140185557123,0.00375140185557123
